repo_name,language,stars,forks,created_at,description
manycore-research/SpatialLM,Python,4144,323,2025-03-14T01:50:51Z,[NeurIPS 2025] SpatialLM: Training Large Language Models for Structured Indoor Modeling
David-patrick-chuks/Riona-AI-Agent,TypeScript,4126,810,2025-01-11T05:45:37Z,"Riona Ai Agent 🌸 is built using Node.js and TypeScript 🛠️, designed for seamless job execution 📸. It"
hotheadhacker/no-as-a-service,JavaScript,4111,245,2025-04-29T19:56:36Z,No-as-a-Service (NaaS) is a simple API that returns a random rejection reason. Use it when you need 
HisMax/RedInk,Python,4103,808,2025-11-25T10:12:54Z,红墨 - 基于🍌Nano Banana Pro🍌 的一站式小红书图文生成器 《一句话一张图片生成小红书图文》 Red Ink - A one-stop Xiaohongshu image-and-te
openai/harmony,Rust,4097,238,2025-07-31T16:10:01Z,Renderer for the harmony response format to be used with gpt-oss
ModelEngine-Group/nexent,Python,4094,466,2025-04-28T10:44:33Z,"Nexent is a zero-code platform for auto-generating agents — no orchestration, no complex drag-and-dr"
AIDC-AI/ComfyUI-Copilot,TypeScript,4090,262,2025-02-14T09:02:28Z,An AI-powered custom node for ComfyUI designed to enhance workflow automation and provide intelligen
Hammer1/cozeworkflows,Sin especificar,4077,1725,2025-07-27T13:42:07Z,coze 的200+工作流合集汇总，一直更新
MeiGen-AI/InfiniteTalk,Python,4068,682,2025-08-14T01:04:53Z,​​Unlimited-length talking video generation​​ that supports image-to-video and video-to-video genera
datalab-to/chandra,Python,4048,454,2025-10-08T21:34:16Z,"OCR model that handles complex tables, forms, handwriting with full layout."
21st-dev/magic-mcp,TypeScript,4043,273,2025-02-19T13:17:50Z,It's like v0 but in your Cursor/WindSurf/Cline. 21st dev Magic MCP server for working with your fron
francescopace/espectre,C,4032,281,2025-10-26T10:41:51Z,"🛜 ESPectre 👻  - Motion detection system based on Wi-Fi spectre analysis (CSI), with Home Assistant i"
TencentCloudADP/youtu-agent,Python,4027,400,2025-08-21T07:58:13Z,A simple yet powerful agent framework that delivers with open-source models
Red-Killer/shit,Sin especificar,4014,280,2025-06-11T05:50:39Z,
StarsfieldAI/R1-V,Python,4012,289,2025-02-02T18:19:54Z,Witness the aha moment of VLM with less than $3.
cmliu/SubsCheck-Win-GUI,C#,4004,926,2025-03-18T00:05:23Z,SubsCheck 为 Windows 用户设计的 GUI 程序界面。
