repo_name,stars,contributors,language,engagement_ratio,contributors_per_1k_stars,expected_contributors,contributors_delta_vs_trend,outlier_score,trend_bucket,snapshot_date_utc
stan-smith/FossFLOW,19151,30,TypeScript,0.001566,1.566,35.602,-5.602,-0.051365,near_trend,2026-03-19
agentsmd/agents.md,19105,20,TypeScript,0.001047,1.047,35.428,-15.428,-0.141475,near_trend,2026-03-19
iOfficeAI/AionUi,19104,65,TypeScript,0.003402,3.402,35.425,29.575,0.271197,near_trend,2026-03-19
hsliuping/TradingAgents-CN,18801,19,Python,0.001011,1.011,34.284,-15.284,-0.14015,near_trend,2026-03-19
humanlayer/12-factor-agents,18800,16,TypeScript,0.000851,0.851,34.28,-18.28,-0.167625,near_trend,2026-03-19
HKUDS/CLI-Anything,18553,28,Python,0.001509,1.509,33.35,-5.35,-0.049062,near_trend,2026-03-19
shanraisshan/claude-code-best-practice,18540,4,HTML,0.000216,0.216,33.301,-29.301,-0.268686,near_trend,2026-03-19
google/adk-python,18439,259,Python,0.014046,14.046,32.921,226.079,2.07308,above_trend,2026-03-19
NirDiamant/agents-towards-production,18315,24,Jupyter Notebook,0.00131,1.31,32.454,-8.454,-0.077525,near_trend,2026-03-19
virattt/dexter,18043,18,TypeScript,0.000998,0.998,31.43,-13.43,-0.123154,near_trend,2026-03-19
google-gemini/gemini-fullstack-langgraph-quickstart,18003,15,Jupyter Notebook,0.000833,0.833,31.28,-16.28,-0.149282,near_trend,2026-03-19
router-for-me/CLIProxyAPI,17853,126,Go,0.007058,7.058,30.715,95.285,0.873735,near_trend,2026-03-19
AlexsJones/llmfit,17790,41,Rust,0.002305,2.305,30.478,10.522,0.096483,near_trend,2026-03-19
astral-sh/ty,17758,40,Python,0.002253,2.253,30.358,9.642,0.088418,near_trend,2026-03-19
abhigyanpatwari/GitNexus,17459,28,TypeScript,0.001604,1.604,29.232,-1.232,-0.011297,near_trend,2026-03-19
